,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
127,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,640,209/23                        ,7/27/2025,6010550008               ,0.0
128,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,644,213/23                        ,7/31/2025,6010550008               ,0.0
129,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,665,234/23                        ,8/21/2025,6010550008               ,0.0
130,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,666,235/23                        ,8/22/2025,6010550008               ,133.0
131,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,667,236/23                        ,8/23/2025,6010550008               ,736.0
132,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,671,240/23                        ,8/27/2025,6010550008               ,448.0
133,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,672,241/23                        ,8/28/2025,6010550008               ,224.0
134,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,673,242/23                        ,8/29/2025,6010550008               ,1568.0
135,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,674,243/23                        ,8/30/2025,6010550008               ,2240.0
136,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,681,250/23                        ,9/6/2025,6010550008               ,896.0
137,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,682,251/23                        ,9/7/2025,6010550008               ,2464.0
138,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,683,252/23                        ,9/8/2025,6010550008               ,1344.0
139,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,685,254/23                        ,9/10/2025,6010550008               ,3808.0
140,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,686,255/23                        ,9/11/2025,6010550008               ,1120.0
141,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,699,268/23                        ,9/24/2025,6010550008               ,672.0
142,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,700,269/23                        ,9/25/2025,6010550008               ,3584.0
143,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,701,270/23                        ,9/26/2025,6010550008               ,3808.0
144,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,702,271/23                        ,9/27/2025,6010550008               ,3584.0
145,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,703,272/23                        ,9/28/2025,6010550008               ,896.0
146,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",224,718,287/23                        ,10/13/2025,6010550008               ,448.0
147,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,623,192/23                        ,7/10/2025,6011640001               ,0.0
148,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,706,275/23                        ,10/1/2025,6011640001               ,1344.0
149,       CDGD,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.",224,707,276/23                        ,10/2/2025,6011640001               ,199.0
150,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",260,184,010823                        ,4/27/2024,6050100007               ,56.0
151,       CDGD,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",260,245,011023                        ,6/27/2024,6050100007               ,4380.0
152,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",272,182,300723                        ,4/25/2024,6050100002               ,1109.0
153,       CDGD,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",272,243,290923                        ,6/25/2024,6050100002               ,544.0
154,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",80,130,080623                        ,3/4/2024,6050100004               ,0.0
155,       CDGD,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",80,245,011023                        ,6/27/2024,6050100004               ,160.0
156,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,159,R070723                       ,4/2/2024,6030050074               ,281.0
157,       CDPI,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",80,164,R120723                       ,4/7/2024,6030050074               ,480.0
