,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
164,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",469,2/6/2025,    CDCDCO1,060223                        ,60,6010010112               ,0.0
165,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",485,2/22/2025,    CDCDCO1,210223                        ,60,6010010112               ,236.0
166,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",555,5/3/2025,    CDCDCO1,040523                        ,60,6010010112               ,360.0
167,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",603,6/20/2025,    CDCDCO1,170623                        ,60,6010010112               ,1440.0
168,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",609,6/26/2025,    CDCDCO1,270623                        ,60,6010010112               ,419.0
169,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",638,7/25/2025,    CDCDCO1,250723                        ,60,6010010112               ,0.0
170,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",660,8/16/2025,    CDCDCO1,170823                        ,60,6010010112               ,300.0
171,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",672,8/28/2025,       CDVM,290823                        ,60,6010010112               ,42.0
172,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",685,9/10/2025,       CDGD,110923                        ,60,6010010112               ,26.0
173,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",685,9/10/2025,       CDVM,110923                        ,60,6010010112               ,12.0
174,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",685,9/10/2025,    CDCDCO1,110923                        ,60,6010010112               ,2880.0
175,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",694,9/19/2025,       CDGD,190923                        ,60,6010010112               ,0.0
176,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",694,9/19/2025,    CDCDCF1,190923                        ,60,6010010112               ,1570.0
177,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",702,9/27/2025,       CDGD,280923                        ,60,6010010112               ,12.0
178,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",702,9/27/2025,       CDVM,280923                        ,60,6010010112               ,1620.0
179,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",702,9/27/2025,    CDCDCO1,280923                        ,60,6010010112               ,1440.0
180,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",175,4/18/2024,      CDLDC,180422                        ,50,6010010008               ,0.0
181,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",279,7/31/2024,    CDCDCO1,300722                        ,50,6010010008               ,0.0
