,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
148,060923                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",220,80,6/2/2024,6030010208               ,    CDVMZPA,9600.0
149,061023                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",250,144,7/2/2024,6030010019               ,       CDGD,10944.0
150,061023                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",250,144,7/2/2024,6030010019               ,       CDVM,450.0
151,061023                        ,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",280,80,8/1/2024,6090020012               ,       CDVM,4880.0
152,061222                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",406,60,12/5/2024,6010010007               ,    CDCDCO1,0.0
153,070723                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",619,60,7/6/2025,6010020204               ,    CDCDCO1,0.0
154,070823                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",190,260,5/3/2024,6030010007               ,    CDCDCO1,9360.0
155,070823                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",190,260,5/3/2024,6030010007               ,    CDVMZPA,18718.0
156,070823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",190,272,5/3/2024,6030010170               ,    CDCDCO1,8704.0
157,070823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",190,272,5/3/2024,6030010170               ,    CDVMZPA,26111.0
158,070823                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",220,260,6/2/2024,6090020009               ,       CDGD,0.0
159,070823                        ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",220,260,6/2/2024,6090020009               ,    CDCDCO1,0.0
