,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
120,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",6090020012               ,240823                        ,6/19/2024,80,237,96.0
121,       CDGD,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",6090020012               ,300523                        ,3/25/2024,80,151,25.0
122,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",6010140007               ,257/23                        ,9/13/2025,224,688,2602.0
123,       CDGD,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.",6010140007               ,258/23                        ,9/14/2025,224,689,896.0
124,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",6010140008               ,258/23                        ,9/14/2025,224,689,25.0
125,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",6010140008               ,259/23                        ,9/15/2025,224,690,1152.0
126,       CDGD,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.",6010140008               ,261/23                        ,9/17/2025,224,692,896.0
127,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,209/23                        ,7/27/2025,224,640,0.0
128,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,213/23                        ,7/31/2025,224,644,0.0
129,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,234/23                        ,8/21/2025,224,665,0.0
130,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,235/23                        ,8/22/2025,224,666,133.0
131,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,236/23                        ,8/23/2025,224,667,736.0
132,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,240/23                        ,8/27/2025,224,671,448.0
133,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,241/23                        ,8/28/2025,224,672,224.0
134,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,242/23                        ,8/29/2025,224,673,1568.0
135,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,243/23                        ,8/30/2025,224,674,2240.0
136,       CDGD,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.",6010550008               ,250/23                        ,9/6/2025,224,681,896.0
