,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
152,SD,661237,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",338653,18.0,0.125
153,SD,661237,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",338653,20.0,0.076923
154,SD,661237,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",338653,34.0,0.125
155,SD,661277,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",319406,40.0,0.153846
156,SD,661280,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,80.0,1.0
157,SD,661281,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,160.0,2.0
158,SD,661282,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",327955,42.0,0.161538
159,SD,661282,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",327955,50.0,0.347222
160,SD,661284,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",354319,260.0,1.0
161,SD,661285,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",280862,34.0,0.125
162,SD,661286,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",319406,260.0,1.0
163,SD,661287,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",261138,20.0,0.076923
164,SD,661287,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",261138,108.0,1.0
165,SD,661291,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",248095,260.0,1.0
166,SD,661294,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",325049,20.0,0.076923
167,SD,661294,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",325049,144.0,1.0
